InputID,TargetID,Distance
"1","1",32747.4365929448
"1","2",12529.3337628605
"1","3",12654.0210599096
"1","4",10825.4143318459
"1","5",8614.47268967757
"1","6",59192.2348213291
"1","7",25371.6373765493
"1","8",55423.0054295158
"1","9",79362.0469108096
"1","10",22864.317504961
"1","11",20692.829703107
"1","12",17447.8016649733
"1","13",17615.8677524503
"1","15",97403.7561108078
"1","16",57780.745018247
"1","17",48002.9727430584
"1","18",32993.0235384043
"1","19",133260.632598694
"1","21",59251.2509959938
"1","23",20700.7917679162
"1","24",35520.4959032058
"1","25",31106.0416424755
"1","26",21141.2589385011
"1","27",39439.2833816443
"1","28",91216.9520016535
"1","29",117577.630297178
"1","30",30707.5315066239
"1","14",12654.0175783037
"1","20",17615.8676288022
"1","22",12654.0210592541
